Annotator 1,Annotator 2(Yasitha),Phrase
joy,joy,ඔබේ ප්‍රාර්ථනාව ඉටුවේවා!
,joy,අගය කළ යුතු චරිතයක්
,joy,"සමහරු බස්වල පිටුපසත් දළදා මාලිගාවේ ඡායාරූප අලවලා. බස් එක ඇතුළේ සීවලී පින්තූරේ, සිවුරේ ධන ලක්ෂ්මී පින්තූරේ අලවලා. බුදු පිළිමේ වට්ටියට දාලා කාසි පුරවලා.බුදුන්ට දේශසීමා දාලා. මේ ශ්‍රද්ධාවලු. මේවා තහනම් කරන්න පෙත්සම් ඕනෑද? නීතිය ක්‍රියාත්මක කරන්න ."
,joy,අගය කළ යුතුයි
disgust,,මම නම් මේ වගේ වැඩ අනුමත කරන්නේ නැහැ
,,සමහර කාල තියෙනවා බුදු දහම හැංගිලා තියෙන කාල නමුත් යම් කාලෙක නවත මතු වෙනවා බුදු දහම කියන්නේ ජීවමාන දහමක්
,,"අගේ කලයුතු වැඩක් පුතේ. එත් පොඩ්ඩක් කල්පනා කරලා බලන්න ඇතැම් උදවියගේ දුෂ්ට වැඩ නිසා, මීට වැඩ බුදු හාමුදුරුවන්ට නිගාවක් වෙනවා නේද කියල."
,,සිංහලයන් සතුන්ට ආහාර දීමට කැමතියි.
,joy,මොනවා වුණත් හොඳ හිතින් දෙන දෙයක්නේ
,,කෑම නොදී මෙයා මෙතනින් යන්න දෙන්නෙ නැහැ. පාරේ භාගයක්ම වහගෙන ඉන්නේ.
,,මම හිතන්නේ නැහැ මේ සතුන්ගෙන් හිරිහැරයක් වෙයි කියලා. අපි සතුන්ට ආදරය පෙන්වන්නේ කන්න දීලා. පාරට සේන්දු නොවෙන්න අලි වැටක් ගහන්න.
disgust,,අලියට මොළය තිබුනට නරයට ඒක නැහැනේ
,,වනාන්තර ආශ්‍රිතව ඇති ලොකු කුඩා සියලුම මාර්ග දෙපස නිසි පරිදි පවත්වාගෙන යන විදුලි වැට පද්ධතියක් සවිකිරීම සහ ඒවා නිසි අයුරින් නඩත්තු කිරීම තමා අලි හෝ වෙනත් වන සතුන් සහ අධි දුෂ්කරතා මැද්දේ දිවි ගැටගසාගන්නට උත්සාහ දරන දුප්පත් ගැමියන් අතර ඇති ගැටලුව විසඳීමට ඇති හොඳම සහ එකම පිළිතුර. මෙය මහා ලොකු ව්‍යාපෘතියක් නොවේ. අප්‍රිකාවේ අපට වඩා දුප්පත් රටවල මෙය ඉතා හොඳින් ක්‍රියාත්මකවෙයි. අපට අවශ්‍ය ඒ ගැන උවමනාවක් ඇතිකර ගැනීම පමණකි. විදුලි වැට සවිකල කෙනාගේ පින්තුර සහ ඒ පිලිබඳ පම්පෝරිය වැට දිගටම අලවා ගැනීමට ඉඩදී හෝ මෙය ඉක්මනින් ක්‍රියාත්මක කල යුතු දෙයකි.
,,සතුනට කෑම දීම නීතියෙන් තහනම්. සතුටක් ලබනවා ඇති. ඔබ සතුනට ආදරේ නම් ආහාර දීමෙන් වළකින්න. වල් අලියකු පසුපස ගොස් කෙසෙල් ඇවරියක් දුන් හිමිනමක් මරා දැම්මා සති කීපයකට පෙර. මේ අලියා කුලප්පු වුණොත්...? මේ පුද්ගලයාට යතුරු පැදියේ වේගය වැඩි කරන්න අමතක වී යාවි.
,,මෙයට වසර තුන කට හතර කට පෙර උඩවලවේ වයස දහයක විතර ළමයෙක් විදුලි වැටෙන් එහා හිටිය අලියෙකුට කෑම දෙන්න ගිහින් අලියා ළමයව මැරුවා. මේ අලියත් ලගදීම කරදරයක් නොකරයි කියලා කියන්න බැහැ.
,,මෙතන තියන ලොකුම ගැටළුව තමයි මේ අලි පාරට එන්නේ කොහොමද කියන එක නේද?  අනිත් එක මේ අහිංසක අලින්ට ඇති වෙන්න කන්න තියෙනවා නම් මෙහෙම අපෙන් කෑම කන්නේ නැහැ.
,,මිනිස්සු ඉල්ලගෙන තමයි අලින්ගෙන් පහර කන්නේ
disgust,anger,"පාර මැද්දෙම කැමටික දැමීම ඉතාමත්ම වැරදිය , කැලය පැත්තට දමනවා නම් සතා පාරෙන් මදකට හෝ අයින් වෙනවනේ, මේකෙන් සතා පාරේ මැදම ඉන්න පුරුදු වෙනවා, මෙහෙම ගියොත් කෑම පාරේ දමන අයව අල්ලන්න පොලිසිය යොදවන්න වෙනවා, මෙය තව ඉදරියට ලොකු ප්‍රශ්නයක් වෙනවා,"
,disgust,සත්තුන්ට තියෙන ආදරේ නොවෙයි ඔය
,,ඔහොම කෑම දෙන අයම එකතුවෙලා කෙනෙක් මියගියදාට ආරක්ෂාව නැහැ කියල‍ා උද්ඝෝෂණය කරාවි. මිනිස්සුන්ට වඩා සතුන්ට හොඳට මොළය තිබෙනවා දැන්.
anger,anger,කවුද ගොන් අලියා
,,ඔය අලියට මමත් කෙසෙල් ඇවරියක් දීලා තිබෙනවා. එයා කරදර කරන්නේ නැහැ
,,"සුමේද, රංගන, මෙම ඡායාරූප වල පෙනෙන කැළය තුළ අලින්ට කන්න ඇතිවෙන්න කොළ නැත කියන කතාව අනුව ඔබේ නුවණ පෙනෙනවා.ඔබ වගේම රසට කන්න අලිත් කැමතියි.මිනිසුන් දෙන රස පලතුරු වලට පුරුදු වුණහම අලි ඔහොම එනවා. වල් අලි ගම්වැද ගෙවල් කඩන්නේ ලුණු සහ වී කෑමට බව ඔබ දන්නවාද?"
,,සත්ත්ව කරුණාව දක්වන්න ඕනෑ තමන්ගේ ආරක්ෂාවත් සිහියට අරගෙන. ගිරවෙකුට පළතුරු දෙන්න ගිය මගේ අසල්වැසි දියණියකට ගිරවා මුහුණට කොටලා යන්තම් ඇස බේරිලා තිබුනේ.
,,ඕවා සුලු දේවල්‍...
disgust,disgust,"මිනිස්සු තමන්ගේ අතේ මොනවා හරි මිට මොළවාගෙන යන්නේ, අලින්ට තිබෙන ආදරේට නෙවෙයි. තමන්ගේ ජීවිතේට මොකක් හරි තර්ජනයක් ඒ සතුන්ගෙන් එයි කියලා. කෑම ටික විසිකළහම සත්තු ඒකට අවධානය යොමු කරනවා, එතකොට හීන් සීරුවෙ මාරු වෙනවා. ආත්මාරක්ෂාවට කෑම දෙන එකද මේ කරන්න එපා කියලා කියන්නෙ? තව පුළුවන් තරම් කැළෑ ටික එළිකරන්න දීලා බලාගෙන ඉන්න."
,,කතරගම බුත්තල මාර්ගය දෙපස කෙසෙල් ගස් හිටවමුද? එතකොට දෙපැත්තේම ඉන්න අලි ඇවිල්ලා කෙසෙල් කාලා පාරත් මාරු නොවී නැවත යාවි. මොකද කියන්නේ?
,,කෑම නොදුන්නොත් යන්න දෙන්නෙ නැහැ කිවුවට එහෙම බවක් නම් පෙනෙන්න නැහැ
,,අලි පළතුරු කෑමට කැමතියි.දැන් කෑම කෑමට පුරුදු වී ඇති බැවින් ඔවුන් පාරට පැමිණේ.කාලයක් නොදී හිටියොත් මෙය වෙනස් කළ හැක. දැන් දැන් අලි පැටවූ අල්ලා ගැනීම වැඩියෙන් සිදුවේ.කරුණාකර අපේ ඇතිවන ආදර සිතිවිලි ඔවුන්ටත් ඇතිවන බව සිතන්න.ඔවුන්ගේ නිදහස නිදහසේ විඳින්න ඉඩදෙන්න. වනජීවී දෙපාර්තමේන්තුව වන ජීවීන්ගේ ආරක්ෂාව ගැන සිතන්න.
,,"රොෂාන් , සුළු දේවල් යන්නෙන් ඔබ අදහස් කලේ මොකද්ද? අලියන් නිසා පැමිණෙන අලි කරදර ද ? මොකක් වුනත් අනතුරක් නම් නුලෙන් බේරුනා වුනත් සුළු කොට තකන්න නොහැකි බව තමා මම නම් දකින්නේ ."
,,""" එපා කිව්වට අහන්නේ නෑ "" දැන් කියලා වැඩක් නැහැ.අලි ඒවාට පුරුදු වෙලා ඉවරයි.අලි මහා මාර්ගයට නොඑන්න වැඩ පිළිවලක් යොදන්න."
disgust,,දෙන්න දෙන්න තව දෙන්න අලියා ගැහුවහම අලියා මරන්න
anger,anger,සත්තුට කෑම දෙන එක පිනක් තමයි . ඒ උනට මේවාට කියන්ඩ තියන්නේ පින්කන් නෙවේ මෝඩ කම කියලා.
,,රණතුංග හරි. උන දේ උනා නේ.
,,"අලින් මරණ එකයි, අලි පැටවුන් හොරකම් කරන එකයි නවත්වන්ඩ ඕන."
,,"කතරගම- බුත්තල මාර්ගය ප්‍රසිද්ධ වෙන කිසි දෙයක් නිසා නෙමේයි මේ සුන්දර සත්තු හින්ද. වල් අලි නැති කතරගම බුත්තල පාරක් මොකටද? අපි නම් ඔය පරෙයන්නේ කොයි වෙලාවක හරි වල් අලියෙක් දකින අසාවෙන්, මුන්ට කෑම දෙන එක සතුටක්. ඒ සතුට අපිට දෙන්න. අලි වැටක් ගහන්න, සංචාරක ආකර්ෂණය ඇති පාරක් කලාපයක් ලෙස සලකා"
disgust,,මේවා මොලයක් නැති අයගේ වැඩ... මොකෝ හෝට න් තැන්නේ එපා කියද්දී කම දාල කපුටෝ ගෙන්නගන්නවා.ඒ එන කපුටෝ එහාට ප්‍රස්නයක්.පාරේ කෙල ගහන්ට එපා. පාරේ කුණු දාන්ට එපා.. හැමතැනින්ම පාර පනින්ට එපා.අපි උතුම් උතුම් කියල පුරාජේරු වැයුවට වැඩක් නැ ... වැඩ ඕන වැඩ.....
,,මට නම් පෙන්නේ මෙයා පාරට වෙලා කප්පම් ඉල්ලන බවකුයි ..
,,ඔබ හරි චානි
,,ලෝකයේ කිසිම රටක දකින්නට නොලැබෙන දසුනකි මේ තනි සපත්තු අළෙවිය
,,මගේ නැතිඋන සපත්තුවේ අනෙක තියෙනවද දන්නේ නැහැ
,,තනි කකුලෙන් නැගිටින්න උත්සහ කරන්න ඕන කියල කතාවක් තියෙනවනේ. මේ කට්ටිය එහෙම වෙන්න උත්සහ කරන්නේ.
disgust,,ලැජ්ජාවේ බැහැ මිනිස්සු තව තොරනවත් එක්ක
,,මගේ ජිවිත කාලෙටම මෙවැන්නක් දැක්කාමයි
,,රොෂාන් කියුව වගේ ලෝකෙම මවිත කරනවා
,,මේවා පාවිච්චි කරපුවද නැත්නම් තොග අවසන් කිරීමේ මහා සේල් ද
,,අනිත් කකුල රත්මලානේ ගොළුමඩම හන්දියේ තියනවා විකුනන්න
,,මිනිහෙක්ට කකුල් දෙකක් තියෙන්නේ තනි සපත්තුවෙන් යන්නද
,,මෙතනින් කැමති එකක් තෝරගත්තට පස්සෙ කඩේ ඇතුලින් ඒකේ අනික් කකුල ගන්න පුළුවන් 1400/-
,,තනි කකුලක් තෝරන්නේ අවුරුද්දට බට්ට පනින්න වෙන්න ඇති.
,,මම හිතන විදියට මෙතනින් තනි කකුලක් අරගෙන කවුරුත් යන්නේ නැහැ. හැමෝම බලන්නේ කොහොම හරි ගැලෙපෙන සපත්තු ජෝඩුවක් අරගන්න රු 200 කට. ඒක තමයි ඇත්ත. තනි කකුල කියල ගහලා තියෙද්දිත් මෙච්චර පොරකාකා බලන්නේ කීයක් හරි ඉතුරු කර ගන්න. ලොකු මහන්තත්ත කම තියන අයට මේවා මැජික්. මේක තමයි බහුතර අපේ ජිවිත කතාව. මෙතන අදහස් දාල තියන අය ඔක්කොම හොඳ සල්ලි කාරයෝ වගේ.
,,නලින් කියලා තියෙනකතාව සියයට දෙසියයක්ම නිවැරදි
,,ඔව් නලින් මාත් හිතන්නේ ඒ විදිහට.ඕක තමා තිත්ත ඇත්ත.
sadness,sadness,නලින් කිවා වගේ හුගක් අයගේ කදුළු කතාවේ එක දර්ශනයක්!
,sadness,ඇති නැති පරතරය කොතරම්ද කියලා මෙයින් පෙනෙනවා. තනි සපත්තුව රු 100 ට ගන්න රටේ සමහරු ඩොලර් 15000 වටිනා සපත්තු දානවා. ඕකට තමා කියන්නේ ආසියාවේ ආශ්චර්ය කියලා
,disgust,"ලසන්ත වගේ පිටරට ගිහින් සුද්දන්ගේ සපත්තු ලෙවකනවට වඩා තමන්ගේ නැතිබැරිකම තියාගෙන නම්බුකාර විදිහට මේ රටේ ඉඳගෙන තනි සපත්තුවකින් හරි ඇවිදින එක ගෞරවයක්. ඔයා සල්ලි උඩ පීනුවත් ඔයා ඔය රටේ ඉන්නේ තුන්වැනි පුරවැසියෙක් හැටියට. මුදල් වලින් ඔයා වැහුණත් ඔයාගේ හිතේ තියෙන අසහනය, ගැතිකම, යටහත්භාවය සහ විශේෂයෙන්ම දුරස් වූ ආත්ම ගෞරවය කවදාවත් මේ රටට එනතුරු ඔයාට ලැබෙන්නේ නැහැ."
,joy,සමහරුන්ට මේක අවුරුද්දේ සුභ  පණිවුඩයක් වේවි.
,sadness,"නලින්, මම ඔබ සමග සියයට දාහක් එකඟයි.පම්පෝරි ගැහුවට මේක තමයි ශ්‍රී ලංකාවේ තිත්ත ඇත්ත"
,anger,මේ ගැන ජාත්‍යන්තර පරික්ෂණයක් ඕනෑ
disgust,disgust,මෙන්න අපගේ මිනිසුන්ගේ යතාර්ථය.
,,"නලින් හරි. හැබැයි ඇඹිලිපිටියට වැරදුනු එක තැනක් තිබෙනවා. පිටරටවල ඉන්න හැමෝම අසහනයෙන්, ආත්ම ගෞරවයක් නැතුව ඉන්නේ නැහැ. පිටරට කියන්නේ මැදපෙරදිගට හෝ කොරියාවට පමණක් නොවේ. විශේෂයෙන් වෙනත් රටවල ඉතා උසස් රැකියාවල් කරමින්, කිසිම අසහනයකින් තොරව එම රටවල වැසියන්ගේත් ගෞරවය ලබමින් සිටින පිරිසකුත් ඉන්නවා. ඒ නිසා අපි කතා කරනකොට පොදු පද භාවිතා කිරීමේදි ප්‍රවේශම් වියයුතුයි."
,,"""ලෝකයේ කිසිම රටක දකින්නට නොලැබෙන දසුනකි මේ තනි සපත්තු අළෙවිය"" නැහැ. අනික් කකුල වෙන ගොඩක තිබෙනවා. ඒක රුපියල් 900 යයි"
disgust,,ලාබෙට ලැබෙනවා නම් තනි කකුල වුණත් කමක් නැත.( දාගන්න නොව බල බලා ඉන්න)
,,මුදලාලි කොක් පරම්පරාවෙන් පැවත එනවා වෙන්න ඇති.
,,අනිත් කකුල් කොලඹ හරි ගාල්ලේ හරි ඇති. මේක ආනයන ටැක්ස් සෙල්ලමක්.
,,"නලින් ගේ කතාවේ ඇත්තක් තියෙනවා. ඒත් මම නම් හිතන්නේ මේ එන අය බලන්නේ හොඳ ""බ්‍රෑන්ඩ් නේම්"" එකක්[නයික්, පුමා, අධිදාස්] තිබෙන සපත්තු දෙකක් සොයාගන්න වෙන්න පුළුවන්. හොඳ නමක් තිබුනත් එකිනෙකට වෙනස් සපත්තු දෙකක් දාගෙන විහිළුවක් වෙනවට වඩා පරණ පාවහන් විකුණන තැනකින් ගැලපෙන දෙකක් දාගෙන ගියොත් වඩා හොඳයි නේද ? ඇඹිලිපිටිය මහතාගෙන් අහන්න තියෙන්නේ ළමයෙක් ඉස්කෝලේ දාගන්න තැන ඉඳල, රැකියාවක් ලබාගන්න තැන ඉඳල, මුළු ජිවිත කාලයම නුගත් දේශපාලඥයන් මත යැපෙන එක, අල්ලස් දීල වැඩ කරගන්න එක ආත්ම ගරුත්වයක් ඇතුව ජිවත් වෙන එකද කියලා. මම හිතන්නේ නැහැ ලසන්ත මහත්මයා ඉන්න රටේ මේ වගේ නිවට වෙන්න ඕන කියල තමන්ට අයිති දේ ලබාගන්න."
disgust,,"මම හිතන්නේ මෙතන අදහස් දාලා තියෙන හුගක් අයගේ ලෝකය පිලිබද දෑනුම අල්පයි. මෑද පෙරදිගට සැවොම යන්නේ වලන් හෝදන්න වාහන එලවන්න කුනු අදින්න පමනක් නොවේ. මා අවුරුදු 13 පමන සෞදියේ සේවය කරමි, මා යටතේ සෞදි ජාතිකයන් ඇතුලු අනෙක් විදේශිකයන් සැලකිය යුතු ප්‍රමානයක් සේවය කරයි. කලමනාකරුවන්,ඉන්ජිනෙරුවන් , වෛද්‍යවරුන්, තාක්ෂනික ශිල්පින්). මා මෙන්ම තවත් ශ්‍රි ලාංකිකයින් ප්‍රමානයක් මෙරට ඉතා ගෞරවාන්විතව සේවය කරන බව හොදින් දනිමි. ඒ සැවොම වෙනුවෙන් මෙය ලියා තබමි. ශ්‍රි ලාංකිකයෙකු වීම මට ආඩම්බරයකී."
,,ලංකාවේ එළවලු ග්රෑම් 100 විකුණන එකේ තනි කකුලට සපත්තු විකිණීම එතරම් පුදුම වෙන්න දෙයක් නොවේ.
,disgust,මෙතනින් පෙන්වන්නේ ලංකාවේ තියෙන බාල/පහත් බඩු විකිණීමේ තත්වය. අපේ හැම අයෙක්ටම හොඳ දේවල් භාවිත කිරීමට ඉඩ තියෙන්න ඕනේ. එහෙත් හැම හොඳ දෙයක්ම පිටරට යවල පහත් තත්වයේ දේවල් ලංකාවේ විකුණන්න ඉඩ දෙනවා.ප්‍රමිති සමගම නිදිද? ලංකාවේ ජනතාව ප්‍රමිති සමාගමට පඩි දෙන්නේ පහත් තත්වයේ බඩු ලංකාවේ විකුණන්න ඉඩ දෙන එකටද?
,fear,භයානකයි යාළුවගේ සපත්තු පරිස්සම් කර ගන්න එකක් නැති උනොත් මෙන්න හොයා ගන්න තැන
,,සෙල්ලං පිස්තෝල පොජ්ජත් තිබුනා නම් වන්නිලා ඇත්තන්ගේ සෙල්ලං යස අගේට තියේවි.
,,ආදී වාසී ප්‍රධාන මිනිබිරියෝ (වන්නිලා අත්තොගේ පුතාගේ සහ දුවගේ දියණියන්) දෙදෙනාම ඉගෙන ගන්නේ කොළඹ විදුහලක
,,ඔතන කලිසම් ජෝජ්ජ ඇදගෙන ඉන්නෙත් ආදිවාසි ඇත්තන්ගේ වරිගයේ අයද පිටරට සුද්දීයෝද මට හරියට පෙන්නේ නැහැ
,,ආදිවාසි කැකුලිය තේරීමේ තරගයට ඉදිරිපත් උන කැකුලියන්ද ඩෙනිම් කලිසම් පොජ්ජට බැහැලා ඉන්නේ ?.
,,ම්කේ අදහස් දාන කට්ටිය ඔපාදුමමයි හොයන්නේ
,,පැත්තක ඉඳන් පොඩි වන්නිලා ඇත්තෙක් ඩිජිටල් කැමරාවකින් ඔක්කොම වීඩියෝ කරනවා යුටියුබ් සහ ෆේස්බුක් දමන්න.
,,වර්තමාන ආදිවාසී භාෂාව වෙලා තියෙන්නේ සිංහල වචනයට පස්සේ පොජ්ජ කියනඑක විතරයිද?
,,මේක රඟපෑමක් විතරයි.
disgust,sadness,"මෙහි සමහරුන්ගේ අදහස් දැක්කහම විසාල කනගාටුවක් ඇතිවෙනවා. මේ රටේ අයිතිකාරයන්ට,උරුමක්කාරයන්ට ඔහුන්ට රිසිසේ ජීවත් වීමේ අයිතියක් නැද්ද?.තමන් කැමති ඇදුමක් අදින්න,තමන් කැමති පාසලකට ගිහින් අකුරු කරන්න,නවීන සමාජය හා අත්වැල් බැදගන්න අයිතියක් නැද්ද?.රටකට වින (හොරකම්,දාමරික කම්) කරපු නිසා ඒ රටෙන් පිටුවහල් කලහම, මේ රටට ඇවිල්ල ඒ මැර කමෙන්න්ම මේ රටේ මින්ස්සුන්ව කැලේට එලවල. පස්සෙන් පසු කාලෙක ඒ කැලේත් අපේ යහපත සදහා උදුරාගත්ත. එතරම්ම පාහර ජාතියක් වුන අපි අද ඒ මිනිසුන්ව විහිලුවට ලක් කරන්න තරම්ම පහත් මට්ටමකට වැටිලා.වැද්දෝ, වනචාරියෝ ඒ මිනිස්සුද?. අපිද ?."
,,ටෙනිසන් මහත්මාට හිසනමා ආචාර කරමි.
,,අද හැම පුවතකටම සෙල්ලම් පිස්තෝලයක් ගැන කියනවා මොකක්ද ඒක.
,disgust,මමත් මේ පාර අවුරුදු උත්සවේට පොල් ගාලා පළමු වෙනියා වෙලා ජය ගත්තා. කොහේ පොල් ගාන්නද වට වෙලා ඉන්න පිරිමි කන්න වගේ නැමිලා බලන් ඉන්න කොට.
,,මේ අය දැන් නගරයේ ඉන්න අයට වඩා නවිනයන් වෙලා. නගරයේ අය වැද්දන් වෙලා. වැද්දන් හොඳට විලි වහගෙන අඳිනවා. අපේ නගරයේ අය දැන් විලි වසා ගැනිමට වඩා නිරුවත් වීම තුලින් කරදර විඳිනවා. වැද්දන් ෆේස් බුක් පාවිච්චි කරනවද දන්නේ නැහැ.
,,ටෙනිසන් ඔන්න නියම කතාව.
,joy,අපේ ආදිවාසීන් තම අනන්‍යතාව රැකගෙන මෙවැනි උත්සව පැවැත්වීම අගයකළ යුතුය. මොනතරම් ලස්සනද?
,,"සමහර බටහිර රටවල්,ඔවුන්ගේ ආදිවාසීන්ට සලකන විදිය දැක්කහම පුදුමත් හිතෙනවා.ඔවුන්ව, බදු ගෙවීම් වලින් සම්පුර්ණයෙන්ම නිදහස් කරලා තියෙනවා.අනිකුත් පුර වැසියන්ට නොමැති විශේෂ වරප්ප්‍රසාද ඔවුන්ට හිමි වෙනවා.ඒ වාගේම ඔවුන්ටම අයිති ඉඩම් අක්කර මිලියන් ගණනක් තියෙනවා.මොනම හේතුවක් නිසාවත් රජයට එම ඉඩම් අත් පත් කර ගැනීමට නීතියෙන් ඉඩක් නැහැ.ඒ වගේම ඔවුන්ගේ අවසරයක් නොමැතිව එම ඉඩම් වලට ඇතුල් වීමද සපුරා තහනම් කර තිබෙනවා.එම ඉඩම් වල ඇති ඛනිජ ද්‍රව්‍ය වල වටිනාකම ඩොලර් බිලියන ගන්නකයි තක්සේරු කරලා තියෙනවා.නමුත් කණගාටුදායක කරුණ නම් මොවුන් මත්පැන් වලට තදින් ඇබ්බැහි වී සිටීමයි.සමස්තයක් වශයෙන් ගත කල රැකියාවක් කිරීමට බොහෝ ආදිවාසින් කැමති නැත.රජයෙන් මාස්පතා නොමිලේ ලබා දෙන දීමනාව ලබා ගෙන, බීමත් වී නිකරුනේ කාලය කා දැමීම ඔවුන්ගේ එකම ක්‍රමවේදයයි.මම දන්නා බටහිර රටවල් දෙකක ආදිවාසීන්ගේ තත්වය එයයි."
,,"ටෙනිසන් මම හිතන්නේ ඔබ 100 ට 100 ක් නිවැරදි නැහැ. සිංහල කියන්නේ විජයගෙන් පමණක් පැවතගෙන එනේ පිරිසක් නොවෙයි. රාවණටත් පෙර සිට එන ජාතියක්. එය සිව් හෙළ , එනම් යක්ෂ , නාග , දේව සහ තව එක ගොත්රයකින් සැදුම් ලද්දක්. පසුව ආර්යයන් සම්මිශ්‍රණය වී විකාශනය වූ ජාතියක්. වර්තමාන වැද්දන් අතීතයේ සම්මිශ්‍රණය නොවූ හෝ වනචාරිව දිවිගෙවූ ජන කොටස්වලින් පැවතෙන්නන් විය යුතුයි. මන්දයත් , රාවනා යුගයේ හෝ පසුකාලීන යක්ෂ ගෝත්‍රිකයන් සතුවූ දියුණු තාක්ෂනයන් ඔව්න් සතුව නැහැ . මොවුන් යක්ෂ ගෝත්‍රිකයන් ගේ හෝ වෙනත් ගෝත්‍රයක වනගතව දිවිගෙවූ ජනකොටස්වලින් පැවතෙන්නන් වියයුතුය."
,,"රණතුංග , ඔබ නිවැරදියි. සැබවින්ම ඔය රටවල් කරන්නේ ආදිවාසීන් සුරකීමක් නොවෙයි. ඔවුන්ව වඳ කිරීමක්. එය සූක්ෂමව සිදුවන ක්‍රියාවක්. දීමනා ලබන මිනිසුන් මතට හුරු වී විහින් නැසෙනවා."
,,පොජ්ජ කියන්නේ මොකද්ද
,,ආදී වාසින් පවා කාලිං කාලෙට පරිවර්තනය වෙලා
,,විකට ඇදුම් තරගෙට ආපු කැකුලියො තමයි ඩෙනිම් පොජ්ජ මන්ද කොරාන ඉන්නේ...
,,"හංසිනි, ඔයා පොල් ගෑවේ හිරමනයෙන්ද මොල්ගහෙන්ද?"
,,ටෙනිසන් මහත්තයාට තව ඉතිහාසය හදාරන්න වෙනවා. ටිකක් දැනගෙන ප්‍රකාශ නිකුත් කිරීම හොඳ දෙයක් නොවෙයි.
joy,,ප්‍රදර්ශනාත්මකව හරි කමක් නැහැ මෙවී තියෙන එක ගැන සතුටුයි
,anger,"ඉන්දික ගම්පහ, නොදන්නා දේවල් කියන්න එපා , කොහේ හිටි රාවන කෙනෙක්ද. ලංකාවේ මිනිස්සුන්ගෙන් වැඩිහරියකට පිස්සු, නොතිබුන ඉතිහාසයක් ගැන හැමදීකදිම සදහන් කරනවා. ඔය කියන රාවන ගැන කිසිම සාක්ෂියක් නැත. කරුණාකර මිත්‍යා මත වපුරන්න එපා. පැහැදිලිව පොතපතේ සදහන් කර ඇති දෑ කියවා බලන්න"
,,"රාවනා ගෙන් පැවත ආවා හෝ නොවුණා හෝ, මේ අපේ රට වැසියෝ. නුගත්, මෝඩ වර්ගීකරණ හරහා මිනිස්සුන්ගේ මානුෂික අයිති වාසිකම් උදුරගන්න හදන්න එපා. මේක දිරවගන්න අමාරු කතාවක් තමයි, නමුත් අද මේ රටේ කිසිම කෙනෙකුට අර ගඳ ගහන වැඩ වසම් සහ බුරු කුලගෝත්‍ර මිනුම් දඬු අදාල නොවිය යුතුයි. තමාගේ ජයග්‍රහණ නැති අසාර්තකයින් ඒ වෙනුවට, මෙවැනි වැට-මායිම් හරහා තමන්ගේ ආත්මාභිමානය ගොඩ නගා ගන්න උත්සහ කිරීම බොහොම ප්‍රකට ප්‍රයත්නයක්."
,,"රාම ,රාවන,හනුම,දඩුමොනරේ,බොහොම උජාරුවෙන් ආඩම්බරයෙන් කිව්වත් කිසිම සාක්ෂියක් නැහැ.ඉතිහාසය හදාරන්න ඕන ඔබයි ධම්ම මහත්තයෝ.එච්චර දුර යන්න එපා.බුදුරජාණන් වහන්සේ තෙවරක් ලංකාවට වැඩියාලු.,කිසිම සාක්ෂියක් නැහැ."
,,සිරා ඔබගේ දැනුම සහා අවබෝදය ගැන කණගාටුයි. රාවනා ගැන දන්නේ නැතිනම් පොත පත හදාරන්න
,,"රාමායනය ,මහා භාරතය අතීතයේ ලියු පොත් මිසක් ඉතිහාස පොත් නොවේ."
,,පොත පතේ සදහන් දේ 100 ට 100 ක් නිවැරදි යයි නොකිවත් එහි ගතයුත්තක් තිබෙන බව සම්මත පිලි ගැනීමයි. නවීන විද්‍යාත්මක පර්යේෂණ නිබන්දනවල පවා සාහිත්‍ය විමර්ශනය අත්‍යවශ්‍ය අංගයක්. ඔය අදහස් දක්වන බොහොමයක් අය බටහිර මත සහ සිදුවීම් ඉහලින් සලකනවා. නමුත් අපේ දෙය ගරහනවා. ඔවුන් ඔය කරන්නේ කාගේදෝ කොන්ත්‍රාත්තුවක්.
,,වැද්දන් අලුත් ලෝකයට එන විට අපි වැද්දන් මෙන් හෙසිරෙනවා. සියල්ලෝම නොව බහුතරයක් .
,,රට ඉදී.
,surprise,මේවා රට ඉඳි නෙවේ නේද?
,,මේ හොඳ ඉඳිද
,,"නැහැ සමින්ද රට ඉදි නෙමේ රට ඉදි වගේ පොකුරට හැදෙන්නේ පුංචි ගෙඩි ජාතියක් .ඉදුනම රසයි ,වියලි පළාත්වල තමා හැදෙන්නේ"
,joy,අපේ සෙල්ලම් කාලෙ මතක් වෙනවා.
,joy,"මේ ඉඳි කඩන කෙනා කොන්ඩේ කැපුවේ කොහෙන්ද දන්නේ නැහැ, මටත් ආසයි ඒ හෙයා ස්ටයිල් එක දාන්න."
,,කවදාවත්ම දැකලත් නෑ කාලත් නෑනෙ.
,joy,අනේ මටත් ආසයි ඉඳි කන්න.
,joy,"මාදං, හිඔුටු, ඉඳි, අැටඹ, වෙරලු අපි පොඩි කාලේ කෑවා. ගස් යට සෙල්ලම් කළා. දැන් පරපුරට මේවා දැක්කම පුදුමයි"
,,ඉදුණු ඉදි හරිම රසයි. අපේ ගමෙත් තියනවා.රතු පැහැ ඉදි කහටයි. කළු පැහැ අමුතුම පැණි රසයක් ඇත.
